"Enabled","Käytössä"
"Merchant ID","Kauppiastunnus"
"Authentication code","Salasana"
"Title","Otsikko"
"Payment from Applicable Countries","Maksu soveltuvista maista"
"Payment from Specific Countries","Maksu tietystä maasta"
"Sort Order","Järjestys"
"May have adult content","Voi sisältää aikuisviihdettä"
"Use XML mode","Käytä XML tilaa"
"Display available banks in the own website instead of redirecting to Checkout Finland site","Näytä saatavilla olevat pankit omalla sivullaan ilman uudelleenohjausta Checkout Finland sivuille"
"Create invoice automatically","Luo lasku automaattisesti"
"For approved payments","Hyväksytyille tilauksille"
"New Payment Order Status","Uusi maksu tila"
"Approved Payment Order Status","Hyväksytyn maksun tila"
"Delayed Payment Order Status","Viivästyneen maksun tila"
"Rejected Payment Order Status","Hylätyn maksun tila"
"Canceled Payment Order Status","Perutun maksun tila"
"Canceled order redirect url","Peruttu tilaus URL"
"Use bank select","Käytä pankin valintaa"
"Allowed payment methods","Hyväksytyt maksutavat"
"Select one or more payment methods","Valitse yksi tai useampi maksutapa"
"Log All Requests","Kirjaa kaikki pyynnöt lokiin"
"If disabled, only erroneous requests will be logged","Jos pois käytöstä, vain virheelliset pyynnöt kirjataan lokiin"
"Select payment operator","Valitse maksutapa"
"Payment operator","Maksutavat"
"Payment operator: %1","Maksutapa: %1"
"Transaction ID: %1","Tapahtuma ID: %1"
"Status code: %1 (%2)","Tilannetunnus: %1 (%2)"
"You will be redirected to Checkout Finland page after placing order","Sinut siirretään Checkout Finland sivulle heti tilauksen lähettämisen jälkeen"
"Order was cancelled due to the payment failure","Tilaus peruttiin maksuongelman vuoksi"
"Customer canceled payment","Asiakas perui maksun"
"Payment is being processed by service provider","Maksu on prosessoitu palveluntarjoajan toimesta"
"Payment was rejected by service provider","Maksu on hylätty palveluntarjoajan toimesta"
"Payment approved by service provide","Maksu on hyväksytty palveluntarjoajan toimesta"
"Error while processing order","Virhe tilauksen käsittelyssä"
"Selected payment method is not available at the moment. Please choose another method.","Valitsemasi maksutapa ei ole käytössä. Yritä toista maksutapaa"
"Error redirecting to Checkout Finland","Virhe Checkout Finlandiin uudelleenohjauksessa"
"Cannot process payment at the moment. You have not been charged.","Emme pystyneet käsittelemään maksua. Maksua ei veloitettu"
"Cancel payment","Peruuta maksu"
"There are no payment methods available at the moment","Maksutapoja ei ole tällä hetkellä saatavilla"
"New order email is sent to customer","Viesti uudesta tilauksesta lähetetty asiakkaalle"
"Invalid order provided to Checkout Finland payment model","Virheellinen tilaus toimitettu Checkout Finlandille"
"Not allowed to create a new Checkout Finland payment for order %1","Checkout Finland maksua ei sallittu tilaukselle %1"
"Invalid Billing address for order %1","Virheellinen laskutusosoite tilauksessa %1"
